fecha,ticker,tipo,moneda,títulos,monto_bruto,comisión,valor_puro,precio_de_ejecución,ciclo_operativo
2026-05-05,SPOT,Compra,USD,0.10835646,45.39,0.113475,45.276525,417.847953,1.0
2026-05-05,RACE,Dividendo,USD,0.0,0.15,,,,
2026-05-07,RACE,Compra,USD,0.05167984,17.67,0.044175,17.625825,341.0580412,1.0
2026-05-07,SPOT,Compra,USD,0.04052262,17.66,0.04415,17.61585,434.7164621,1.0
2026-05-07,GOOGL,Venta,USD,0.03375308,13.36,0.0334,13.3934,396.8052693,1.0
2026-05-07,MSFT,Venta,USD,0.02593116,11.04,0.0276,11.0676,426.8069766,1.0
2026-05-07,NVDA,Venta,USD,0.05288131,11.04,0.0276,11.0676,209.2913356,1.0
2026-05-11,TSLA,Venta,USD,0.02249808,10.04,0.0251,10.0651,447.3759539,1.0
2026-05-11,NVDA,Venta,USD,0.04751555,10.54,0.02635,10.56635,222.3766746,1.0
2026-05-11,NVDA,Venta,USD,0.07687407,17.08,0.0427,17.1227,222.7370035,1.0
2026-05-11,ACHR,Compra,USD,0.3711543,2.5,0.00625,2.49375,6.718903701,1.0
2026-05-11,AXP,Compra,USD,0.03514687,10.99,0.027475,10.962525,311.9061527,1.0
2026-05-11,META,Compra,USD,0.01818486,10.99,0.027475,10.962525,602.8380202,1.0
2026-05-11,TSLA,Venta,USD,0.03209048,14.06,0.03515,14.09515,439.2315104,1.0
2026-05-12,GOOGL,Compra,USD,0.05484506,21.23,0.053075,21.176925,386.1227429,2.0
2026-05-12,MSFT,Compra,USD,0.03888356,15.91,0.039775,15.870225,408.1474279,1.0
2026-05-12,MELI,Compra,USD,0.03047504,47.79,0.119475,47.670525,1564.248152,1.0
2026-05-14,TSLA,Venta,USD,0.02342143,10.52,0.0263,10.5463,450.2842055,1.0
2026-05-14,NVDA,Venta,USD,0.06591367,15.53,0.038825,15.568825,236.200245,1.0
2026-05-14,AAPL,Venta,USD,0.03698735,11.03,0.027575,11.057575,298.9555889,1.0
2026-05-15,GOOGL,Compra,USD,0.04676882,18.49,0.046225,18.443775,394.3604949,2.0
2026-05-15,MSTR,Compra,USD,0.1026416,18.5,0.04625,18.45375,179.7882145,3.0
